run_accession	platform	library_layout	read_length	spots	count_reads	bases	average_genome_size	genome_equilvalents	sample_accession	sampling_campaign	sampling_station	sampling_platform	event_label	event_date_time_start	event_date_time_end	latitude_start	longitude_start	latitude_end	longitude_end	depth	sample_collection_device	protocol_label	size_fraction_lower_threshold	size_fraction_upper_threshold	sample_status	last_update_date	marine_region	temperature	salinity_sensor	oxygen_sensor	nitrate_sensor	chlorophyll_sensor	environment_biome	environment_feature	environment_material	environmental_package	citation	further_details	project_name	ena_checklist
ERR594392	ILLUMINA	PAIRED	97	48271080	96542160	9324189434	15494900	601.7582959511602	ERS489943	TARA_20100624Z	TARA_064	"SV Tara"	TARA_20100707T0448Z_064_EVENT_PUMP	2010-07-07T04:48	2010-07-07T07:45	-29.5019	37.9889	-29.5023	37.9965	5	"PUMP (High Volume Peristaltic Pump)"	VIRUS_NUC-Fe_W<-0.22	0	0.22	"This version can be used to provide data discovery services"	2014-05-01Z	n/a	22.1656	35.3347	210.008	99999	0.162993	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR598954	ILLUMINA	PAIRED	99	199504187	399008374	39368758098	2248610	17508.061365978723	ERS492408	TARA_20110520Z	TARA_112	"SV Tara"	TARA_20110614T1645Z_112_EVENT_PUMP	2011-06-14T16:45	2011-06-14T20:05	-23.2811	-129.395	-23.24	-129.485	5	"PUMP (High Volume Peristaltic Pump)"	BACT_NUC-DNA(100L)_W0.22-3	0.22	3	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Rapa-Pitcairn (MRGID:21942)"	24.2375	36.4539	202.175	-0.916543	0.04895	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599237	ILLUMINA	PAIRED	98	180500815	361001630	35215597089	13439300	2620.343228188775	ERS490668	TARA_20101031Z	TARA_078	"SV Tara"	TARA_20101104T1004Z_078_EVENT_PUMP	2010-11-04T10:04	2010-11-04T13:25	-30.1367	-43.2899	-30.1885	-43.2831	5	"PUMP (High Volume Peristaltic Pump)"	PROT_NUC-RNA(100L)_W0.8->	0.8	0	"This version can be used to provide data discovery services"	2014-05-01Z	n/a	19.8541	36.3242	221.475	-0.385346	0.053173	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599085	ILLUMINA	PAIRED	99	36095353	72190706	7147772998	2664910	2682.1817614853785	ERS491767	TARA_20110401Z	TARA_098	"SV Tara"	TARA_20110404T1359Z_098_Combined-EVENTS_CAST	2011-04-04T13:55:02	2011-04-04T22:34	-25.8076	-111.691	-25.8339	-111.808	488	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	BACT_NUC-DNA(100L)_W0.22-3	0.22	3	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Province:Easter Island (MRGID:15120), Marine Ecoregion:Easter Island (MRGID:15120)"	8.11313	34.3626	155.558	24.644	0	"marine biome (ENVO:00000447)"	"mesopelagic zone (ENVO:00000213)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599071	ILLUMINA	PAIRED	97	189128623	378257246	36873435578	2529180	14579.192771892971	ERS491767	TARA_20110401Z	TARA_098	"SV Tara"	TARA_20110404T1359Z_098_Combined-EVENTS_CAST	2011-04-04T13:55:02	2011-04-04T22:34	-25.8076	-111.691	-25.8339	-111.808	488	"ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles"	BACT_NUC-DNA(100L)_W0.22-3	0.22	3	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Province:Easter Island (MRGID:15120), Marine Ecoregion:Easter Island (MRGID:15120)"	8.11313	34.3626	155.558	24.644	0	"marine biome (ENVO:00000447)"	"mesopelagic zone (ENVO:00000213)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR594340	ILLUMINA	PAIRED	101	161070777	322141554	32536296954	1821390	17863.43714929355	ERS490664	TARA_20101031Z	TARA_078	"SV Tara"	TARA_20101104T1004Z_078_EVENT_PUMP	2010-11-04T10:04	2010-11-04T13:25	-30.1367	-43.2899	-30.1885	-43.2831	5	"PUMP (High Volume Peristaltic Pump)"	GIRUS_NUC-dry_W0.22-0.45	0.22	0.45	"This version can be used to provide data discovery services"	2014-05-01Z	n/a	19.8541	36.3242	221.475	-0.385346	0.053173	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR594332	ILLUMINA	PAIRED	101	143741285	287482570	29035739570	2032080	14288.69958368337	ERS490665	TARA_20101031Z	TARA_078	"SV Tara"	TARA_20101104T1004Z_078_EVENT_PUMP	2010-11-04T10:04	2010-11-04T13:25	-30.1367	-43.2899	-30.1885	-43.2831	5	"PUMP (High Volume Peristaltic Pump)"	GIRUS_NUC-dry_W0.45-0.8	0.45	0.8	"This version can be used to provide data discovery services"	2014-05-01Z	n/a	19.8541	36.3242	221.475	-0.385346	0.053173	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR599058	ILLUMINA	PAIRED	96	168192870	336385740	32306307192	2020460	15989.582169107798	ERS489733	TARA_20100624Z	TARA_057	"SV Tara"	TARA_20100627T1205Z_057_EVENT_PUMP	2010-06-27T12:05	2010-06-27T14:20	-17.0248	42.7401	-17.0283	42.7449	5	"PUMP (High Volume Peristaltic Pump)"	BACT_NUC-DNA(100L)_W0.22-3	0.22	3	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Province:Western Indian Ocean (MRGID:21773), Marine Ecoregion:Fiji Islands (MRGID:21994), Marine Ecoregion:Western and Northern Madagascar (MRGID:22035)"	26.9654	35.0537	190.054	99999	0.085544	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR164413	LS454	SINGLE	552	134941	134941	74429932	2640210	28.190865552779897	ERS488017	TARA_20090919Z	TARA_006	"SV Tara"	TARA_20090921T1200Z_006_EVENT_PUMP	2009-09-21T12:00	2009-09-21T14:45	36.5229	-4.0023	36.5224	-4.0075	8	"PUMP (High Volume Peristaltic Pump)"	GIRUS_NUC-dry_W0.22-1.6	0.22	1.6	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Ecoregion:Alboran Sea (MRGID:3324)"	99999	99999	99999	99999	99999	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
ERR588857	ILLUMINA	PAIRED	98	126456043	252912086	24679654726	2436670	10128.442690546815	ERS492821	TARA_20110726Z	TARA_124	"SV Tara"	TARA_20110804T1833Z_124_EVENT_PUMP	2011-08-04T18:33	2011-08-04T22:00	-9.1504	-140.522	-9.1552	-140.528	5	"PUMP (High Volume Peristaltic Pump)"	PROT_NUC-DNA(100L)_W0.22-3	0.22	3	"This version can be used to provide data discovery services"	2014-05-01Z	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	26.519	35.3967	190.724	5.11186	0.286662	"marine biome (ENVO:00000447)"	"surface water layer (ENVO:00002042)"	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	"Tara Oceans expedition (2009-2013)"	ERC000011
