FUNKSFAM	N_annotations	annotation list
5580	22	5580_643906171 O07599 EMBL:Y14083 EMBL:AL009126 PIR:G69829 RefSeq:NP_388889.1 ProteinModelPortal:O07599 STRING:224308.BSU10080 DNASU:939301 EnsemblBacteria:CAB12848 GeneID:939301 KEGG:bsu:BSU10080 PATRIC:18973712 GenoList:BSU10080 eggNOG:NOG05782 HOGENOM:HOG000055430 OMA:FFYLGDS OrthoDB:EOG6GXTNZ ProtClustDB:CLSK886993 BioCyc:BSUB:BSU10080-MONOMER GO:GO:0016021 GO:GO:0005886
8371	20	8371_643906906 O31780 EMBL:AL009126 PIR:E69884 RefSeq:NP_389588.1 STRING:224308.BSU17070 PaxDb:O31780 EnsemblBacteria:CAB13579 GeneID:939511 KEGG:bsu:BSU17070 PATRIC:18975221 GenoList:BSU17070 eggNOG:NOG14110 HOGENOM:HOG000093567 OMA:SYFIWPK OrthoDB:EOG6716N2 ProtClustDB:CLSK887320 BioCyc:BSUB:BSU17070-MONOMER GO:GO:0016021 GO:GO:0005886
8469	31	8469_637002394 Q47702 EMBL:U00096 EMBL:AP009048 EMBL:U53700 PIR:B65016 RefSeq:NP_416914.1 RefSeq:YP_490655.1 ProteinModelPortal:Q47702 IntAct:Q47702 STRING:511145.b2419 PaxDb:Q47702 PRIDE:Q47702 EnsemblBacteria:AAC75472 EnsemblBacteria:BAA16293 GeneID:12930198 GeneID:946876 KEGG:ecj:Y75_p2380 KEGG:eco:b2419 PATRIC:32120221 EchoBASE:EB2520 EcoGene:EG12644 eggNOG:NOG12258 HOGENOM:HOG000122975 OMA:VIRISMM OrthoDB:EOG6CS05J ProtClustDB:PRK10318 BioCyc:EcoCyc:G7260-MONOMER BioCyc:ECOL316407:JW2412-MONOMER PRO:PR:Q47702 Genevestigator:Q47702
11015	30	11015_637002089 P33349 EMBL:U00007 EMBL:U00096 EMBL:AP009048 PIR:G64979 RefSeq:NP_416624.1 RefSeq:YP_490358.1 ProteinModelPortal:P33349 STRING:511145.b2120 PaxDb:P33349 PRIDE:P33349 EnsemblBacteria:AAC75181 EnsemblBacteria:BAE76596 GeneID:12931447 GeneID:946651 KEGG:ecj:Y75_p2081 KEGG:eco:b2120 PATRIC:32119575 EchoBASE:EB1939 EcoGene:EG11999 eggNOG:NOG14865 HOGENOM:HOG000122178 OMA:RREAYMR OrthoDB:EOG65XMZV ProtClustDB:CLSK880298 BioCyc:EcoCyc:EG11999-MONOMER BioCyc:ECOL316407:JW2108-MONOMER PRO:PR:P33349 Genevestigator:P33349
12365	41	12365_645345856 P15373 EMBL:M30178 EMBL:M32358 EMBL:U18997 EMBL:U00096 EMBL:AP009048 PIR:A35137 RefSeq:NP_417598.1 RefSeq:YP_491317.1 ProteinModelPortal:P15373 SMR:P15373 IntAct:P15373 STRING:511145.b3129 PaxDb:P15373 EnsemblBacteria:AAC76163 EnsemblBacteria:BAE77176 GeneID:12930498 GeneID:947639 KEGG:ecj:Y75_p3051 KEGG:eco:b3129 PATRIC:32121674 EchoBASE:EB0948 EcoGene:EG10955 eggNOG:COG2002 HOGENOM:HOG000229555 OMA:CSESTLT OrthoDB:EOG6GBMFR ProtClustDB:PRK09974 BioCyc:EcoCyc:EG10955-MONOMER BioCyc:ECOL316407:JW3098-MONOMER BioCyc:MetaCyc:EG10955-MONOMER PRO:PR:P15373 Genevestigator:P15373 GO:GO:0005737 GO:GO:0003677 GO:GO:0019899 GO:GO:0003700 GO:GO:0045892 GO:GO:0001558 GO:GO:0006351
12229	29	12229_638869232 P77564 EMBL:U68703 EMBL:U00096 EMBL:AP009048 PIR:H64924 RefSeq:NP_416187.1 RefSeq:YP_489934.1 ProteinModelPortal:P77564 IntAct:P77564 STRING:511145.b1672 EnsemblBacteria:AAC74742 EnsemblBacteria:BAE76497 GeneID:12932771 GeneID:947180 KEGG:ecj:Y75_p1647 KEGG:eco:b1672 PATRIC:32118650 EchoBASE:EB3715 EcoGene:EG13957 eggNOG:NOG86918 HOGENOM:HOG000120953 OMA:GLCEWLE OrthoDB:EOG6QZMQP ProtClustDB:PRK09947 BioCyc:EcoCyc:G6900-MONOMER BioCyc:ECOL316407:JW1662-MONOMER PRO:PR:P77564 Genevestigator:P77564
12396	39	12396_637002334 P76514 EMBL:U00096 EMBL:AP009048 PIR:F65009 RefSeq:NP_416862.2 RefSeq:YP_490601.1 ProteinModelPortal:P76514 SMR:P76514 IntAct:P76514 STRING:511145.b2361 PRIDE:P76514 EnsemblBacteria:AAC75420 EnsemblBacteria:BAE76700 GeneID:12931555 GeneID:946834 KEGG:ecj:Y75_p2326 KEGG:eco:b2361 PATRIC:32120099 EchoBASE:EB3892 EcoGene:EG14140 eggNOG:COG1896 HOGENOM:HOG000006145 KO:K06952 OMA:QRIYVEN OrthoDB:EOG63FW2V ProtClustDB:CLSK816415 BioCyc:EcoCyc:G7230-MONOMER BioCyc:ECOL316407:JW2358-MONOMER BioCyc:MetaCyc:G7230-MONOMER PRO:PR:P76514 Genevestigator:P76514 GO:GO:0050897 GO:GO:0008252 GO:GO:0008081 Gene3D:1.10.3210.10 InterPro:IPR003607 InterPro:IPR006674 SMART:SM00471
12972	29	12972_645349542 P76220 EMBL:U00096 EMBL:AP009048 PIR:G64934 RefSeq:NP_416265.4 RefSeq:YP_490012.1 STRING:511145.b1751 EnsemblBacteria:AAC74821 EnsemblBacteria:BAE76518 GeneID:12931325 GeneID:946248 KEGG:ecj:Y75_p1726 KEGG:eco:b1751 PATRIC:32118813 EchoBASE:EB3757 EcoGene:EG14001 eggNOG:NOG70266 HOGENOM:HOG000121098 OMA:RTMSQHY OrthoDB:EOG6CVVG5 ProtClustDB:CLSK880180 BioCyc:EcoCyc:G6946-MONOMER BioCyc:ECOL316407:JW5283-MONOMER PRO:PR:P76220 Genevestigator:P76220 GO:GO:0051536 InterPro:IPR017896 PROSITE:PS51379
12930	18	12930_641879194 Q8ZL81 EMBL:AE006468 RefSeq:NP_462570.1 STRING:99287.STM3670 DNASU:1255194 EnsemblBacteria:AAL22529 GeneID:1255194 KEGG:stm:STM3670 PATRIC:32386173 eggNOG:NOG29606 HOGENOM:HOG000126069 OMA:INWGRSA OrthoDB:EOG6XDGZ2 ProtClustDB:CLSK894517 BioCyc:SENT99287:GCTI-3695-MONOMER InterPro:IPR013022 SUPFAM:SSF51658
13472	40	13472_645351380 Q46865 EMBL:U28377 EMBL:U00096 EMBL:AP009048 PIR:D65089 RefSeq:NP_417494.1 RefSeq:YP_491214.1 PDB:3HI2 PDBsum:3HI2 ProteinModelPortal:Q46865 SMR:Q46865 IntAct:Q46865 STRING:511145.b3022 EnsemblBacteria:AAC76058 EnsemblBacteria:BAE77078 GeneID:12931837 GeneID:947500 KEGG:ecj:Y75_p2948 KEGG:eco:b3022 EchoBASE:EB2841 EcoGene:EG13023 eggNOG:NOG77853 HOGENOM:HOG000229187 KO:K13651 OMA:MEKGTPH OrthoDB:EOG6MD97N ProtClustDB:CLSK881375 BioCyc:EcoCyc:G7572-MONOMER BioCyc:ECOL316407:JW2990-MONOMER BioCyc:MetaCyc:G7572-MONOMER PRO:PR:Q46865 Genevestigator:Q46865 GO:GO:0004521 GO:GO:0045892 GO:GO:0017148 GO:GO:0009372 GO:GO:0043488 GO:GO:0044010 GO:GO:0006351
